Content,Date,User
"@lopezobrador_ antes de dormir:
Chingas a tu madre pinche viejo resentido huevon vividor.
Según tú, tienes el 70% de aprovacion, MENTIRA, NADIE TE QUIERE.
ESTAS DESPEDIDO!",28 ago.,@BrunoMoralesIs1
"¿Por qué tan desesperado por purificar su imagen, Señor Presimueble?",28 ago.,@neoliberalover
"Puede repetir una mentira 1000 veces y va a seguir siendo mentira. 

Viejo mitomano!✍️🧐",27 ago.,@DonPorfifirio
"@lopezobrador_ has dilapidado nuestros recursos y frenado el desarrollo de México haciendo que los inversionistas pierdan la confianza en México solo para complacer tus absurdos caprichos con tus #EncuestasGansito, se contrajo la economía 18.7 por tus necedades de dictadorsucho!",27 ago.,@lyneth50973592
"Cero corrupción: Bartlett, dr houses, Pío.

Cero impunidad: #LeBaronFamily 

Narcoestado:  Ovidio, la familia del Marro.
La mamá del chapo.

Puras mentiras, se nesecita estár bien Pndej0 para creerle ...

Punto.",27 ago.,@bta_Demian
No permita que Monreal meta las manos en elecciones del senado hoy en la marcha se vio que la gente ya no lo quiere,29 ago.,@fulvia_rut
Presidente @lopezobrador_ los maestros del Programa Nacional de Inglés PRONI necesitamos mucho su apoyo. Hemos solicitado la revisión de nuestras condiciones laborales durante 2 años sin tener respuesta del Secretario @emoctezumab @rigel_deneb @Gio_Proni_NL,29 ago.,@fuerzaprooaxaca
Chinga tu madre,29 ago.,@Daniel62243761
"¡NI TÚ LO CREES!
Tu ineptitud es evidente. No se trata de ""ser mucha pieza"" ¡No seas absurdo! 
Se trata de tener un PLAN DE GOBIERNO congruente y luego una EJECUCIÓN IMPECABLE, pero tú NO ERES el gobernante que México necesita. 
Te queda grandísimo el reto.
#LopezMexicoTeRepudia",29 ago.,@CanallaPerro
"México esta enfrentando 3 crisis:
1.- Andres López Obrador. 
2.- Morena 
3.-Coronavirus.",29 ago.,@Rafael_mex_litu
El peor Presidente en el peor momento.,29 ago.,@Anaro74
"El peor virus es el de la 4t, que se aloja en personas ignorantes y resentidas. Ese es el verdadero peligro para México!",29 ago.,@martiamex
